Collision_ID,Crash_Date,Vehicle_Type
4465934,01-10-2021 23:42,Sedan
4463285,01-10-2021 23:58,Sedan
4465937,02-10-2021 00:00,Sedan
4465695,02-10-2021 00:00,SUV
4463491,02-10-2021 00:00,SUV
4463881,02-10-2021 00:00,SUV
4463547,02-10-2021 00:00,Sedan
4463639,02-10-2021 00:00,Two Wheeler
4463915,02-10-2021 00:00,SUV
4463637,02-10-2021 00:00,Sedan
4463392,02-10-2021 00:25,Sedan
4463303,02-10-2021 00:27,Taxi
4463684,02-10-2021 00:30,SUV
4463776,02-10-2021 00:30,SUV
4463777,02-10-2021 00:30,Sedan
4463470,02-10-2021 00:32,SUV
4466036,02-10-2021 00:35,Two Wheeler
4464305,02-10-2021 00:39,SUV
4463721,02-10-2021 00:40,SUV
4463763,02-10-2021 00:42,SUV
4464036,02-10-2021 00:45,SUV
4463795,02-10-2021 00:45,Sedan
4464167,02-10-2021 00:50,Sedan
4465832,02-10-2021 01:00,Sedan
4463673,02-10-2021 01:05,SUV
4463667,02-10-2021 01:14,Sedan
4463452,02-10-2021 01:15,Sedan
4463691,02-10-2021 01:20,Sedan
4463603,02-10-2021 01:21,Sedan
4463394,02-10-2021 01:30,Sedan
4463661,02-10-2021 01:30,Sedan
4463937,02-10-2021 01:31,SUV
4463287,02-10-2021 01:41,Sedan
4463804,02-10-2021 01:50,Taxi
4463920,02-10-2021 01:50,Sedan
4463363,02-10-2021 01:56,Sedan
4463289,02-10-2021 02:00,Sedan
4463317,02-10-2021 02:08,Sedan
4464088,02-10-2021 02:10,Sedan
4463867,02-10-2021 02:10,Sedan
4463635,02-10-2021 02:20,SUV
4464303,02-10-2021 02:30,Sedan
4464103,02-10-2021 02:30,Heavy Vehicle
4463934,02-10-2021 02:35,Sedan
4465626,02-10-2021 02:40,Sedan
4463692,02-10-2021 02:45,Sedan
4464086,02-10-2021 02:50,Sedan
4463644,02-10-2021 02:54,Sedan
4464666,02-10-2021 02:56,Two Wheeler
4463476,02-10-2021 03:00,Sedan
4463302,02-10-2021 03:00,Sedan
4463499,02-10-2021 03:00,Sedan
4463288,02-10-2021 03:05,SUV
4463593,02-10-2021 03:10,Sedan
4465530,02-10-2021 03:14,SUV
4465535,02-10-2021 03:35,SUV
4463398,02-10-2021 03:36,Sedan
4463331,02-10-2021 03:45,SUV
4463873,02-10-2021 03:45,Sedan
4463360,02-10-2021 03:50,SUV
4463354,02-10-2021 03:59,Sedan
4463778,02-10-2021 04:00,Sedan
4463722,02-10-2021 04:00,Sedan
4464372,02-10-2021 04:13,Two Wheeler
4463404,02-10-2021 04:14,Sedan
4463364,02-10-2021 04:15,Sedan
4463792,02-10-2021 04:17,Sedan
4464855,02-10-2021 04:19,Sedan
4464231,02-10-2021 04:19,SUV
4463997,02-10-2021 04:23,SUV
4463826,02-10-2021 04:28,Sedan
4463636,02-10-2021 04:30,Sedan
4463859,02-10-2021 04:30,SUV
4463379,02-10-2021 04:30,Taxi
4464563,02-10-2021 04:30,Sedan
4463709,02-10-2021 04:40,Sedan
4463622,02-10-2021 04:40,Sedan
4464230,02-10-2021 04:50,SUV
4463685,02-10-2021 05:00,SUV
4463971,02-10-2021 05:05,SUV
4463503,02-10-2021 05:09,SUV
4463362,02-10-2021 05:20,Sedan
4463921,02-10-2021 05:30,Sedan
4464169,02-10-2021 05:45,SUV
4463948,02-10-2021 06:00,SUV
4464075,02-10-2021 06:00,Sedan
4464466,02-10-2021 06:10,Sedan
4468666,02-10-2021 06:14,Sedan
4463660,02-10-2021 06:15,SUV
4465025,02-10-2021 06:30,Sedan
4463537,02-10-2021 06:30,Sedan
4464160,02-10-2021 06:32,SUV
4464038,02-10-2021 06:33,Sedan
4464142,02-10-2021 06:40,Sedan
4463353,02-10-2021 06:45,Sedan
4471495,02-10-2021 06:50,SUV
4463449,02-10-2021 06:50,SUV
4463663,02-10-2021 06:58,Two Wheeler
4465795,02-10-2021 07:10,Sedan
4465293,02-10-2021 07:30,Sedan
4463351,02-10-2021 07:38,SUV
4463357,02-10-2021 07:43,Sedan
4464729,02-10-2021 07:50,Sedan
4463878,02-10-2021 08:00,Sedan
4464135,02-10-2021 08:00,Commercial Vehicle
4463474,02-10-2021 08:20,SUV
4463880,02-10-2021 08:25,Sedan
4464463,02-10-2021 08:30,SUV
4464144,02-10-2021 08:45,SUV
4463420,02-10-2021 08:45,SUV
4472133,02-10-2021 08:48,SUV
4464328,02-10-2021 09:05,Sedan
4467323,02-10-2021 09:06,Sedan
4468440,02-10-2021 09:32,Sedan
4463645,02-10-2021 09:34,SUV
