Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Friday,01-10-2021 15:32,MANHATTAN,40.7784761,-73.9854489,0,No Injury,0,Failure to Yield Right-of-Way,4469613
Friday,01-10-2021 15:38,BRONX,40.870033,-73.889,1,Injured,0,Driver Inattention,4464022
Friday,01-10-2021 15:40,BRONX,40.881687,-73.90283,0,No Injury,0,Failure to Yield Right-of-Way,4464180
Friday,01-10-2021 15:43,MANHATTAN,40.76696,-73.96386,0,No Injury,0,Passing or Lane Usage Improper,4463682
Friday,01-10-2021 15:50,BRONX,40.862747,-73.90494,0,No Injury,0,Passing or Lane Usage Improper,4463431
Friday,01-10-2021 15:50,STATEN ISLAND,40.577045,-74.080795,1,Injured,0,Passing Too Closely,4464031
Friday,01-10-2021 15:55,MANHATTAN,40.788586,-73.95529,0,No Injury,0,Turning Improperly,4464523
Friday,01-10-2021 16:00,BRONX,40.88713,-73.863594,0,No Injury,0,Unsafe Speed,4463510
Friday,01-10-2021 16:09,MANHATTAN,40.718094,-74.001335,0,No Injury,0,Following Too Closely,4463306
Friday,01-10-2021 16:11,STATEN ISLAND,40.601,-74.07645,0,No Injury,0,Following Too Closely,4464021
Friday,01-10-2021 16:15,QUEENS,40.75399,-73.90031,0,No Injury,0,Driver Inattention,4463225
Friday,01-10-2021 16:20,BROOKLYN,40.680717,-73.9463,0,No Injury,0,Unsafe Speed,4464465
Friday,01-10-2021 16:20,MANHATTAN,40.827633,-73.93577,1,Injured,0,Driver Inattention,4463836
Friday,01-10-2021 16:25,QUEENS,40.752228,-73.93911,1,Injured,0,Failure to Yield Right-of-Way,4463385
Friday,01-10-2021 16:25,BROOKLYN,40.73046,-73.95149,0,No Injury,0,Turning Improperly,4463855
Friday,01-10-2021 16:29,BROOKLYN,40.63969,-73.95321,1,Injured,0,Driver Inattention,4463617
Friday,01-10-2021 16:30,BROOKLYN,40.678528,-73.977394,0,No Injury,0,View Obstructed,4463279
Friday,01-10-2021 16:37,MANHATTAN,40.750763,-73.97445,0,No Injury,0,Following Too Closely,4465420
